,,,,,,,,,,,,,
,All Plans,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Provider,Plan Name,Plan Type,Monthly Price (SAR),Data (GB),Social Media Data,Local Call Minutes,International Call Minutes,SMS,Roaming Data GB,Contract Terms,Special Features,URL
,Yaqoot,NETii Social 5G,Data-only,83,20,40 GB (7 Apps),-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Yaqoot,NETii1 5G,Data-only,75,30,-,-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Yaqoot,NETii2 5G,Data-only,90,50,-,-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Yaqoot,NETii3 5G,Data-only,130,75,-,-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Yaqoot,NETii4 5G,Data-only,175,100,-,-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Yaqoot,NETii Unlimited 5G,Data-only,345,Unlimited,-,-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Jawwy,SIM 30,Prepaid,34.5,1,-,100,-,-,,30 days,-,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwysim30extra.html
,STC,Mofawtar 3+ ,Postpaid,264.5,110,Unlimited,750 all networks,-,within Stc Unlimited + other local networks 1000,,3 months promo,,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&productId=1-882T20O
,Virgin Mobile,Switch 250,Postpaid,287.5,120,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
,Lebara,eze 290,Postpaid,333.5,150,Unlimited,Unlimited,-,-,,No contract,5G enabled,https://lebara.sa/en/number-booking-new/voice-plans?category=postpaid
,Virgin Mobile,Baqah Flex 300,Prepaid,345,100,Unlimited,1500 Flex,-,-,,12 weeks,-,https://virginmobile.sa/join/#/category
,Virgin Mobile,Switch 300,Postpaid,345,155,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
,STC,Mofawtar Flex,Postpaid,370,150,Unlimited,Unlimited,200,within STC unlimited + other local networks 1500,2,3 months promo,,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&productId=1-BCQU0BK
,Yaqoot,Voice Package 5X 5G,Prepaid,385,Unlimited,Unlimited,Unlimited,-,Unlimited,,4 weeks,5G enabled,https://yaqoot.sa/en#voice-packages
,Virgin Mobile,Baqah Unlimited,Prepaid,414,Unlimited,Unlimited,Unlimited,-,Unlimited,,4 weeks,-,https://virginmobile.sa/join/#/category
,Virgin Mobile,Switch 365,Postpaid,419.75,Unlimited,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
